iter	RMSE
0	63504.44483
1	59233.68842
2	55242.70092
3	51543.49486
4	47961.37841
5	44843.00951
6	42250.75929
7	39826.52042
8	37986.64603
9	35884.59855
10	33996.70345
11	32215.2484
12	30658.34494
13	29228.01382
14	28120.64433
15	26999.88001
16	26022.56085
17	25143.50726
18	24338.58248
19	23605.16739
20	22903.12487
21	22361.35777
22	21916.94302
23	21496.41755
24	21129.9595
25	20800.87916
26	20452.05931
27	20160.50149
28	19851.0613
29	19585.21408
30	19367.78306
31	19108.32691
32	18946.06692
33	18771.50768
34	18621.29761
35	18471.37957
36	18297.46704
37	18193.02549
38	18096.62065
39	17991.25585
40	17893.01036
41	17804.16019
42	17728.53873
43	17656.47558
44	17552.91656
45	17462.57637
46	17402.6245
47	17344.47699
48	17282.86395
49	17198.76962
50	17095.71238
51	16996.52349
52	16946.93553
53	16885.99689
54	16842.40436
55	16806.28566
56	16754.42429
57	16715.56291
58	16662.68959
59	16623.45209
60	16557.63049
61	16494.45017
62	16456.42132
63	16399.82325
64	16375.25904
65	16328.40333
66	16268.07034
67	16173.51608
68	16116.08055
69	16052.64424
70	16001.63664
71	15900.19843
72	15856.39467
73	15813.67503
74	15767.70398
75	15730.3724
76	15676.65867
77	15633.95377
78	15583.91902
79	15543.36948
80	15513.30705
81	15473.94141
82	15444.52464
83	15386.15221
84	15333.40628
85	15257.04346
86	15204.20587
87	15119.70526
88	15067.96193
89	15005.04473
90	14938.85482
91	14903.03089
92	14855.969
93	14829.06896
94	14765.98815
95	14754.76471
96	14714.98782
97	14670.3392
98	14661.21965
99	14593.51586
