iter	Passed	Remaining
0	1	170
1	3	151
2	4	135
3	5	133
4	6	125
5	7	118
6	8	114
7	9	113
8	11	112
9	12	109
10	13	108
11	14	106
12	15	104
13	16	101
14	17	100
15	18	98
16	19	97
17	21	96
18	22	95
19	23	95
20	25	94
21	26	93
22	27	92
23	28	91
24	30	90
25	31	88
26	32	86
27	33	85
28	34	84
29	35	83
30	36	81
31	37	80
32	39	79
33	40	78
34	41	76
35	42	75
36	43	74
37	44	72
38	46	72
39	47	70
40	48	69
41	49	68
42	50	66
43	51	65
44	52	64
45	54	63
46	55	62
47	56	60
48	57	59
49	58	58
50	59	57
51	60	56
52	61	54
53	62	53
54	64	52
55	65	51
56	66	50
57	67	48
58	68	47
59	69	46
60	70	45
61	71	43
62	73	42
63	74	41
64	75	40
65	76	39
66	77	37
67	78	36
68	79	35
69	80	34
70	81	33
71	82	32
72	83	30
73	84	29
74	86	28
75	87	27
76	88	26
77	89	25
78	90	24
79	91	22
80	92	21
81	93	20
82	94	19
83	96	18
84	96	17
85	97	15
86	98	14
87	99	13
88	100	12
89	101	11
90	102	10
91	103	9
92	104	7
93	105	6
94	106	5
95	107	4
96	108	3
97	109	2
98	110	1
99	111	0
